gva_id,incident_date,state,city_or_county_guardian_corrected,city_or_county_original_gva,address,num_killed,num_injured,latitude,longitude,gva_url,fips_full,fips_state,fips_county,fips_tract,fips_block,fips_full_tract,tract_land_square_miles,tract_water_square_miles
376457.0,7/16/15,Alabama,Andalusia,Andalusia,Leon Wiggins Road,1.0,0.0,31.2616,-86.3769,http://www.gunviolencearchive.org/incident/376457,10399623003016.0,1.0,39.0,962300.0,3016.0,1039962300.0,107.68,1.04
465075.0,12/13/15,Alabama,Anniston,Anniston,1801 S. Quintard Avenue,1.0,0.0,33.6679,-85.8267,http://www.gunviolencearchive.org/incident/465075,10150002001052.0,1.0,15.0,200.0,1052.0,1015000200.0,2.63,0.00
294446.0,2/14/15,Alabama,Anniston,Anniston,2900 block of Wilmer Avenue,1.0,0.0,33.6762,-85.8286,http://www.gunviolencearchive.org/incident/294446,10150003001023.0,1.0,15.0,300.0,1023.0,1015000300.0,1.01,0.02
318249.0,3/27/15,Alabama,Anniston,Anniston,,1.0,0.0,33.6586,-85.8594,http://www.gunviolencearchive.org/incident/318249,10150004001031.0,1.0,15.0,400.0,1031.0,1015000400.0,3.91,0.00
439828.0,10/30/15,Alabama,Anniston,Anniston,West 15th Street,1.0,0.0,33.6637,-85.84100000000001,http://www.gunviolencearchive.org/incident/439828,10150005002046.0,1.0,15.0,500.0,2046.0,1015000500.0,0.91,0.00
434810.0,10/19/15,Alabama,Anniston,Anniston,3600 block of West 14th Street,1.0,0.0,33.6619,-85.8747,http://www.gunviolencearchive.org/incident/434810,10150014001013.0,1.0,15.0,1400.0,1013.0,1015001400.0,8.21,0.01
311784.0,3/21/15,Alabama,Anniston,Anniston,Ragan Drive,1.0,1.0,33.6508,-85.9013,http://www.gunviolencearchive.org/incident/311784,10150014003010.0,1.0,15.0,1400.0,3010.0,1015001400.0,8.21,0.01
293501.0,2/14/15,Alabama,Auburn,Auburn,600 block of Spencer Avenue,1.0,0.0,32.6192,-85.4911,http://www.gunviolencearchive.org/incident/293501,10810406022000.0,1.0,81.0,40602.0,2000.0,1081040602.0,5.56,0.14
307346.0,3/11/15,Alabama,Baldwin County,Baldwin County,8600 block of Cliffs Landing Road,1.0,0.0,30.8621,-87.8906,http://www.gunviolencearchive.org/incident/307346,10030103003078.0,1.0,3.0,10300.0,3078.0,1003010300.0,132.72,8.95
457277.0,11/30/15,Alabama,Bessemer,Bessemer,271 Woodward Ave,1.0,0.0,33.4216,-86.9414,http://www.gunviolencearchive.org/incident/457277,10730101001008.0,1.0,73.0,10100.0,1008.0,1073010100.0,0.93,0.00
342709.0,5/17/15,Alabama,Bessemer,Bessemer,1500 block of 9th Avenue North,1.0,0.0,33.4029,-86.9645,http://www.gunviolencearchive.org/incident/342709,10730102002099.0,1.0,73.0,10200.0,2099.0,1073010200.0,1.40,0.00
466558.0,12/16/15,Alabama,Bessemer,Bessemer,491 14th St,1.0,0.0,33.3982,-86.9599,http://www.gunviolencearchive.org/incident/466558,10730102003000.0,1.0,73.0,10200.0,3000.0,1073010200.0,1.40,0.00
426407.0,10/5/15,Alabama,Bessemer,Bessemer,Fairfax Avenue and 16th Street,1.0,0.0,33.3932,-86.9455,http://www.gunviolencearchive.org/incident/426407,10730103011027.0,1.0,73.0,10301.0,1027.0,1073010301.0,0.80,0.00
